Entity,Code,Year,Social Expenditure %GDP - (OWID extrapolated series),Social Expenditure %GDP - OECD (1985),Social Expenditure %GDP - OECD (SOCX),Social Expenditure %GDP - Lindert_Historical (2004),Social Expenditure %GDP - Lindert_OECD_Old (2004),Social Expenditure %GDP - Lindert_OECD_New (2004)
Denmark,DNK,1985,19.294,,19.294,,,
Denmark,DNK,1990,21.973,,21.973,,,26.97
Denmark,DNK,1995,25.513,,25.513,,,30.86
Denmark,DNK,2000,23.765,,23.765,,,
Denmark,DNK,2005,25.186,,25.186,,,
Denmark,DNK,2010,28.941,,28.941,,,
Denmark,DNK,2013,29.017,,29.017,,,
Denmark,DNK,2014,29.001,,29.001,,,
Denmark,DNK,2015,28.814,,28.814,,,
Denmark,DNK,2016,28.677,,28.677,,,
Estonia,EST,2000,13.816,,13.816,,,
Estonia,EST,2005,12.97,,12.97,,,
Estonia,EST,2010,18.321,,18.321,,,
Estonia,EST,2013,15.871,,15.871,,,
Estonia,EST,2014,15.977,,15.977,,,
Estonia,EST,2015,17.037,,17.037,,,
Estonia,EST,2016,17.427,,17.427,,,
Finland,FIN,1880,0.66,,,0.66,,
Finland,FIN,1890,0.76,,,0.76,,
Finland,FIN,1900,0.78,,,0.78,,
Finland,FIN,1910,0.9,,,0.9,,
Finland,FIN,1920,0.85,,,0.85,,
Finland,FIN,1930,2.97,,,2.97,,
Finland,FIN,1960,8.144340766,8.810325477,,,8.81,
Finland,FIN,1961,8.407883875,9.095419216,,,,
Finland,FIN,1962,8.895144773,9.622524752,,,,
Finland,FIN,1963,9.06119164,9.802149719,,,,
Finland,FIN,1964,9.490408028,10.26646429,,,,
Finland,FIN,1965,10.27865087,11.11916387,,,,
Finland,FIN,1966,11.16363935,12.07652025,,,,
Finland,FIN,1967,11.90990932,12.88381473,,,,
Finland,FIN,1968,12.58923258,13.61868809,,,,
Finland,FIN,1969,12.37661529,13.3886845,,,,
Finland,FIN,1970,12.53344597,13.55833965,,,13.56,
Finland,FIN,1971,13.34528936,14.43656966,,,,
Finland,FIN,1972,13.99794372,15.14259333,,,,
Finland,FIN,1973,13.64675671,14.76268881,,,,
Finland,FIN,1974,13.9516556,15.09252011,,,,
Finland,FIN,1975,15.4373571,16.69971143,,,,
Finland,FIN,1976,17.04886543,18.44299714,,,,
Finland,FIN,1977,18.45034185,19.95907606,,,,
Finland,FIN,1978,18.74081587,20.27330293,,,,
Finland,FIN,1979,17.82869989,19.28660076,,,,
Finland,FIN,1980,17.742,19.19281119,17.742,,19.19,18.32
Finland,FIN,1985,21.663,,21.663,,,
Finland,FIN,1990,23.318,,23.318,,,24.66
Finland,FIN,1995,28.902,,28.902,,,31.65
Finland,FIN,2000,22.648,,22.648,,,
Finland,FIN,2005,23.927,,23.927,,,
Finland,FIN,2010,27.417,,27.417,,,
Finland,FIN,2013,29.482,,29.482,,,
Finland,FIN,2014,30.177,,30.177,,,
Finland,FIN,2015,30.575,,30.575,,,
Finland,FIN,2016,30.783,,30.783,,,
France,FRA,1880,0.46,,,0.46,,
France,FRA,1890,0.54,,,0.54,,
France,FRA,1900,0.57,,,0.57,,
France,FRA,1910,0.81,,,0.81,,
France,FRA,1920,0.64,,,0.64,,
France,FRA,1930,1.05,,,1.05,,
France,FRA,1960,12.03809709,,,,13.42,
France,FRA,1970,14.96240384,,,,16.68,
France,FRA,1975,16.46679708,18.35708876,,,,
France,FRA,1976,18.09021481,20.16686532,,,,
France,FRA,1977,18.59166897,20.72588348,,,,
France,FRA,1978,19.45212529,21.68511513,,,,
France,FRA,1979,19.72334639,21.98747083,,,,
France,FRA,1980,20.232,22.55451488,20.232,,22.55,22.95
France,FRA,1985,25.245,,25.245,,,
France,FRA,1990,24.28,,24.28,,,23.7
France,FRA,1995,28.332,,28.332,,,26.93
France,FRA,2000,27.495,,27.495,,,
France,FRA,2005,28.694,,28.694,,,
France,FRA,2010,30.664,,30.664,,,
France,FRA,2013,31.493,,31.493,,,
France,FRA,2014,31.938,,31.938,,,
France,FRA,2015,31.685,,31.685,,,
France,FRA,2016,31.548,,31.548,,,
France,FRA,1981,,23.6759924,,,,
Germany,DEU,1880,0.5,,,0.5,,
Germany,DEU,1890,0.53,,,0.53,,
Germany,DEU,1900,0.59,,,0.59,,
Germany,DEU,1930,4.82,,,4.82,,
Germany,DEU,1960,15.36900429,18.10373307,,,18.1,
Germany,DEU,1961,15.30499905,18.02833886,,,,
Germany,DEU,1962,15.38823514,18.12638581,,,,
Germany,DEU,1963,15.82884552,18.64539749,,,,
Germany,DEU,1964,15.3544809,18.08662542,,,,
Germany,DEU,1965,16.08403345,18.94599303,,,,
Germany,DEU,1966,16.29368853,19.19295371,,,,
Germany,DEU,1967,17.68985237,20.83754805,,,,
Germany,DEU,1968,17.47866871,20.5887868,,,,
Germany,DEU,1969,16.95038312,19.96649916,,,,
Germany,DEU,1970,16.56899836,19.51725159,,,19.53,
Germany,DEU,1971,17.31586635,20.39701572,,,,
Germany,DEU,1972,17.96411868,21.16061673,,,,
Germany,DEU,1973,18.29670434,21.55238199,,,,
Germany,DEU,1974,19.96037785,23.51208613,,,,
Germany,DEU,1975,23.05745714,27.16025329,,,,
Germany,DEU,1976,22.73042441,26.77502903,,,,
Germany,DEU,1977,22.57739198,26.59476632,,,,
Germany,DEU,1978,22.02451057,25.94350634,,,,
Germany,DEU,1979,21.58779659,25.42908438,,,,
Germany,DEU,1980,21.788,25.66491157,21.788,,25.66,20.42
Germany,DEU,1985,22.228,,22.228,,,
Germany,DEU,1990,21.354,,21.354,,,19.85
Germany,DEU,1995,25.225,,25.225,,,24.92
Germany,DEU,2000,25.405,,25.405,,,
Germany,DEU,2005,26.279,,26.279,,,
Germany,DEU,2010,25.922,,25.922,,,
Germany,DEU,2013,24.758,,24.758,,,
Germany,DEU,2014,24.851,,24.851,,,
Germany,DEU,2015,24.964,,24.964,,,
Germany,DEU,2016,25.289,,25.289,,,
Germany,DEU,1981,,26.3451316,,,,
Greece,GRC,1880,0,,,0,,
Greece,GRC,1890,0,,,0,,
Greece,GRC,1900,0,,,0,,
Greece,GRC,1910,0,,,0,,
Greece,GRC,1920,0,,,0,,
Greece,GRC,1930,0.07,,,0.07,,
Greece,GRC,1960,6.097022902,6.844106464,,,10.44,
Greece,GRC,1961,6.15928405,6.913996627,,,,
Greece,GRC,1962,6.292460982,7.063492063,,,,
Greece,GRC,1963,6.584765475,7.391613362,,,,
Greece,GRC,1964,6.822277068,7.658227848,,,,
Greece,GRC,1965,7.283308689,8.175750834,,,,
Greece,GRC,1966,7.61670586,8.55,,,,
Greece,GRC,1967,8.162280081,9.162424803,,,,
Greece,GRC,1968,8.433565012,9.466950959,,,,
Greece,GRC,1969,8.089454234,9.080675422,,,,
Greece,GRC,1970,8.047091117,9.033121445,,,9.03,
Greece,GRC,1971,8.091215174,9.082652134,,,,
Greece,GRC,1972,7.736204272,8.684140853,,,,
Greece,GRC,1973,7.009729518,7.868649318,,,,
Greece,GRC,1974,7.452637313,8.365827721,,,,
Greece,GRC,1975,7.713039336,8.658137459,,,,
Greece,GRC,1976,8.067154378,9.055643108,,,,
Greece,GRC,1977,8.86498118,9.951229636,,,,
Greece,GRC,1978,9.495982219,10.65954882,,,,
Greece,GRC,1979,9.30247371,10.44232923,,,,
Greece,GRC,1980,9.856,11.06368049,9.856,,11.06,8.67
Greece,GRC,1985,15.368,,15.368,,,
Greece,GRC,1990,15.721,,15.721,,,13.95
Greece,GRC,1995,16.6,,16.6,,,14.43
Greece,GRC,2000,18.383,,18.383,,,
Greece,GRC,2005,20.422,,20.422,,,
Greece,GRC,2010,23.826,,23.826,,,
Greece,GRC,2013,26.04,,26.04,,,
Greece,GRC,2014,26.077,,26.077,,,
Greece,GRC,2015,26.387,,26.387,,,
Greece,GRC,2016,27.026,,27.026,,,
Hungary,HUN,2000,20.113,,20.113,,,
Hungary,HUN,2005,21.857,,21.857,,,
Hungary,HUN,2010,23.038,,23.038,,,
Hungary,HUN,2013,22.108,,22.108,,,
Hungary,HUN,2014,21.373,,21.373,,,
Hungary,HUN,2015,20.672,,20.672,,,
Hungary,HUN,2016,20.604,,20.604,,,
Iceland,ISL,1990,13.186,,13.186,,,
Iceland,ISL,1995,14.71,,14.71,,,
Iceland,ISL,2000,14.631,,14.631,,,
Iceland,ISL,2005,15.893,,15.893,,,
Iceland,ISL,2010,16.996,,16.996,,,
Iceland,ISL,2013,16.603,,16.603,,,
Iceland,ISL,2014,16.677,,16.677,,,
Iceland,ISL,2015,15.674,,15.674,,,
Iceland,ISL,2016,15.214,,15.214,,,
Ireland,IRL,1930,3.74,,,3.74,,
Ireland,IRL,1960,7.09439486,8.696340884,,,8.7,
Ireland,IRL,1961,7.201331148,8.827423863,,,,
Ireland,IRL,1962,7.295329497,8.942647459,,,,
Ireland,IRL,1963,7.618721078,9.339062303,,,,
Ireland,IRL,1964,7.518391755,9.21607817,,,,
Ireland,IRL,1965,7.826963533,9.594326833,,,,
Ireland,IRL,1966,8.485709893,10.40182106,,,,
Ireland,IRL,1967,8.68570303,10.64697354,,,,
Ireland,IRL,1968,8.471068908,10.38387408,,,,
Ireland,IRL,1969,8.899226589,10.90871167,,,,
Ireland,IRL,1970,9.6976489,11.88742131,,,11.89,
Ireland,IRL,1971,10.23535483,12.54654363,,,,
Ireland,IRL,1972,10.10304491,12.38435754,,,,
Ireland,IRL,1973,10.98795601,13.46908552,,,,
Ireland,IRL,1974,12.38090535,15.17656904,,,,
Ireland,IRL,1975,13.91089618,17.05203863,,,,
Ireland,IRL,1976,13.7971166,16.91256711,,,,
Ireland,IRL,1977,13.33237617,16.34288622,,,,
Ireland,IRL,1978,13.37824249,16.39910935,,,,
Ireland,IRL,1979,13.79136835,16.90552088,,,,
Ireland,IRL,1980,15.657,19.19242048,15.657,,19.19,16.2
Ireland,IRL,1985,20.369,,20.369,,,
Ireland,IRL,1990,16.839,,16.839,,,18.05
Ireland,IRL,1995,17.543,,17.543,,,18.3
Ireland,IRL,2000,12.567,,12.567,,,
Ireland,IRL,2005,14.879,,14.879,,,
Ireland,IRL,2010,22.389,,22.389,,,
Ireland,IRL,2013,20.229,,20.229,,,
Ireland,IRL,2014,19.161,,19.161,,,
Ireland,IRL,2015,16.971,,16.971,,,
Ireland,IRL,2016,16.105,,16.105,,,
Ireland,IRL,1981,,20.88132388,,,,
Israel,ISR,1995,17.006,,17.006,,,
Israel,ISR,2000,17.005,,17.005,,,
Israel,ISR,2005,16.3,,16.3,,,
Israel,ISR,2010,16.035,,16.035,,,
Israel,ISR,2013,16.116,,16.116,,,
Israel,ISR,2014,16.241,,16.241,,,
Israel,ISR,2015,16.046,,16.046,,,
Israel,ISR,2016,16.098,,16.098,,,
Italy,ITA,1880,0,,,0,,
Italy,ITA,1890,0,,,0,,
Italy,ITA,1900,0,,,0,,
Italy,ITA,1910,0,,,0,,
Italy,ITA,1920,0,,,0,,
Italy,ITA,1930,0.08,,,0.08,,
Italy,ITA,1960,10.71713342,13.0951868,,,13.1,
Italy,ITA,1961,10.49876261,12.8283611,,,,
Italy,ITA,1962,11.32295597,13.83543693,,,,
Italy,ITA,1963,11.66436058,14.25259672,,,,
Italy,ITA,1964,11.73358679,14.33718372,,,,
Italy,ITA,1965,13.22655893,16.16143544,,,,
Italy,ITA,1966,13.35978202,16.32421976,,,,
Italy,ITA,1967,13.25533354,16.19659492,,,,
Italy,ITA,1968,13.55326517,16.5606354,,,,
Italy,ITA,1969,13.91295942,17.00014317,,,,
Italy,ITA,1970,13.87869274,16.95827297,,,16.94,
Italy,ITA,1971,14.84257901,18.13603853,,,,
Italy,ITA,1972,15.89002003,19.41589905,,,,
Italy,ITA,1973,15.64472293,19.11617231,,,,
Italy,ITA,1974,15.81899366,19.32911244,,,,
Italy,ITA,1975,17.21296682,21.03239803,,,,
Italy,ITA,1976,17.25647171,21.08555634,,,,
Italy,ITA,1977,16.63989902,20.33217068,,,,
Italy,ITA,1978,18.00924475,22.0053642,,,,
Italy,ITA,1979,17.3667989,21.22036433,,,,
Italy,ITA,1980,17.379,21.23527276,17.379,,21.24,17.1
Italy,ITA,1985,20.113,,20.113,,,
Italy,ITA,1990,20.652,,20.652,,,21.34
Italy,ITA,1995,20.957,,20.957,,,23.71
Italy,ITA,2000,22.637,,22.637,,,
Italy,ITA,2005,24.095,,24.095,,,
Italy,ITA,2010,27.629,,27.629,,,
Italy,ITA,2013,28.619,,28.619,,,
Italy,ITA,2014,28.972,,28.972,,,
Italy,ITA,2015,28.917,,28.917,,,
Italy,ITA,2016,28.871,,28.871,,,
Italy,ITA,1981,,22.54747072,,,,
Japan,JPN,1880,0.05,,,0.05,,
Japan,JPN,1890,0.11,,,0.11,,
Japan,JPN,1900,0.17,,,0.17,,
Japan,JPN,1910,0.18,,,0.18,,
Japan,JPN,1920,0.18,,,0.18,,
Japan,JPN,1930,0.21,,,0.21,,
Japan,JPN,1960,3.470812182,4.046461713,,,4.05,
Japan,JPN,1961,3.925302951,4.576331784,,,,
Japan,JPN,1962,4.19093792,4.886023486,,,,
Japan,JPN,1963,4.371477729,5.09650662,,,,
Japan,JPN,1964,4.420922763,5.154152331,,,,
Japan,JPN,1965,4.722153496,5.505343511,,,,
Japan,JPN,1966,4.777126347,5.569433853,,,,
Japan,JPN,1967,4.830765969,5.631969843,,,,
Japan,JPN,1968,4.768017334,5.558814069,,,,
Japan,JPN,1969,4.670731789,5.445393287,,,,
Japan,JPN,1970,4.90989891,5.724227332,,,5.72,
Japan,JPN,1971,5.132696242,5.983976585,,,,
Japan,JPN,1972,5.547535334,6.467618573,,,,
Japan,JPN,1973,5.729202871,6.679416474,,,,
Japan,JPN,1974,6.936385678,8.086815881,,,,
Japan,JPN,1975,7.992115301,9.317642926,,,,
Japan,JPN,1976,8.611482114,10.03973446,,,,
Japan,JPN,1977,8.946610719,10.43044563,,,,
Japan,JPN,1978,9.623850053,11.22000809,,,,
Japan,JPN,1979,9.933519057,11.58103707,,,,
Japan,JPN,1980,10.244,11.94301265,10.244,,11.94,10.48
Japan,JPN,1985,11.068,,11.068,,,
Japan,JPN,1990,11.107,,11.107,,,11.57
Japan,JPN,1995,14.055,,14.055,,,12.24
Japan,JPN,2000,16.269,,16.269,,,
Japan,JPN,2005,18.152,,18.152,,,
Japan,JPN,2010,22.074,,22.074,,,
Japan,JPN,2013,23.06,,23.06,,,
Japan,JPN,1981,,12.35867152,,,,
Latvia,LVA,1995,0,,0,,,
Latvia,LVA,2000,14.841,,14.841,,,
Latvia,LVA,2005,12.205,,12.205,,,
Latvia,LVA,2010,18.711,,18.711,,,
Latvia,LVA,2013,14.377,,14.377,,,
Latvia,LVA,2014,14.227,,14.227,,,
Latvia,LVA,2015,14.415,,14.415,,,
Latvia,LVA,2016,14.46,,14.46,,,
Luxembourg,LUX,1980,19.222,,19.222,,,
Luxembourg,LUX,1985,18.729,,18.729,,,
Luxembourg,LUX,1990,18.147,,18.147,,,
Luxembourg,LUX,1995,19.685,,19.685,,,
Luxembourg,LUX,2000,18.601,,18.601,,,
Luxembourg,LUX,2005,22.392,,22.392,,,
Luxembourg,LUX,2010,22.91,,22.91,,,
Luxembourg,LUX,2013,23.233,,23.233,,,
Luxembourg,LUX,2014,23.004,,23.004,,,
Luxembourg,LUX,2015,22.184,,22.184,,,
Luxembourg,LUX,2016,21.8,,21.8,,,
Mexico,MEX,1985,1.703,,1.703,,,
Mexico,MEX,1990,3.17,,3.17,,,
Mexico,MEX,1995,4.124,,4.124,,,
Mexico,MEX,2000,4.778,,4.778,,,
Mexico,MEX,2005,6.283,,6.283,,,
Mexico,MEX,2010,7.495,,7.495,,,
Netherlands,NLD,1880,0.29,,,0.29,,
Netherlands,NLD,1890,0.3,,,0.3,,
Netherlands,NLD,1900,0.39,,,0.39,,
Netherlands,NLD,1910,0.39,,,0.39,,
Netherlands,NLD,1920,0.99,,,0.99,,
Netherlands,NLD,1930,1.03,,,1.03,,
Netherlands,NLD,1960,9.604045445,11.70120898,,,11.7,
Netherlands,NLD,1961,10.40763334,12.68027035,,,,
Netherlands,NLD,1962,11.12187603,13.55047688,,,,
Netherlands,NLD,1963,12.81986312,15.61924069,,,,
Netherlands,NLD,1964,12.92968082,15.75303847,,,,
Netherlands,NLD,1965,14.04922895,17.11705395,,,,
Netherlands,NLD,1966,15.21529189,18.53774132,,,,
Netherlands,NLD,1967,16.22932575,19.77320217,,,,
Netherlands,NLD,1968,16.81327998,20.48467011,,,,
Netherlands,NLD,1969,17.64982788,21.50388872,,,,
Netherlands,NLD,1970,18.42703498,22.45080872,,,22.45,
Netherlands,NLD,1971,19.18258854,23.37134685,,,,
Netherlands,NLD,1972,19.96527057,24.32493731,,,,
Netherlands,NLD,1973,20.5507956,25.03831905,,,,
Netherlands,NLD,1974,21.91989118,26.70637379,,,,
Netherlands,NLD,1975,24.26125453,29.55900314,,,,
Netherlands,NLD,1976,24.30077343,29.60715148,,,,
Netherlands,NLD,1977,20.96819799,25.54686648,,,,
Netherlands,NLD,1978,21.83820323,26.60684825,,,,
Netherlands,NLD,1979,22.5536143,27.47847829,,,,
Netherlands,NLD,1980,23.261,28.3403305,23.261,,28.34,26.94
Netherlands,NLD,1985,23.78,,23.78,,,
Netherlands,NLD,1990,23.989,,23.989,,,27.59
Netherlands,NLD,1995,22.339,,22.339,,,25.7
Netherlands,NLD,2000,18.404,,18.404,,,
Netherlands,NLD,2005,20.489,,20.489,,,
Netherlands,NLD,2010,22.087,,22.087,,,
Netherlands,NLD,2013,22.879,,22.879,,,
Netherlands,NLD,2014,22.661,,22.661,,,
Netherlands,NLD,2015,22.313,,22.313,,,
Netherlands,NLD,2016,22.006,,22.006,,,
Netherlands,NLD,1981,,29.07257374,,,,
New Zealand,NZL,1880,0.17,,,0.17,,
New Zealand,NZL,1890,0.39,,,0.39,,
New Zealand,NZL,1900,1.09,,,1.09,,
New Zealand,NZL,1910,1.35,,,1.35,,
New Zealand,NZL,1920,1.84,,,1.84,,
New Zealand,NZL,1930,2.43,,,2.43,,
New Zealand,NZL,1960,11.40733281,10.36615713,,,10.37,
